stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Mahyar Mohamammadyar\documents\visual studio 2015\Projects\Meet in the middle game board\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.42360] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.42376] Score is : 657
display  D   display_settings.c:214  debug_display_settings           [   0.42389] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.42404] Score is : 665
display  D   display_settings.c:214  debug_display_settings           [   0.42417] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.42432] Score is : 513
display  D   display_settings.c:214  debug_display_settings           [   0.42445] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.42460] Score is : 513
display  D   display_settings.c:214  debug_display_settings           [   0.42474] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.42489] Score is : 657
display  D   display_settings.c:214  debug_display_settings           [   0.42502] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.42518] Score is : 665
display  D   display_settings.c:214  debug_display_settings           [   0.42531] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.42546] Score is : 513
display  D   display_settings.c:214  debug_display_settings           [   0.42558] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.42574] Score is : 513
display  D   display_settings.c:214  debug_display_settings           [   0.42587] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.42604] Score is : 657
display  D   display_settings.c:214  debug_display_settings           [   0.42617] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.42632] Score is : 665
display  D   display_settings.c:214  debug_display_settings           [   0.42645] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.42660] Score is : 513
display  D   display_settings.c:214  debug_display_settings           [   0.42674] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.42689] Score is : 513
display  D   display_settings.c:214  debug_display_settings           [   0.42703] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.42719] Score is : 657
display  D   display_settings.c:214  debug_display_settings           [   0.42733] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.42748] Score is : 665
display  D   display_settings.c:214  debug_display_settings           [   0.42761] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.42777] Score is : 513
display  D   display_settings.c:214  debug_display_settings           [   0.42790] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.42805] Score is : 513
display  D   display_settings.c:214  debug_display_settings           [   0.42818] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.42833] Score is : 657
display  D   display_settings.c:214  debug_display_settings           [   0.42846] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.42861] Score is : 665
display  D   display_settings.c:214  debug_display_settings           [   0.42875] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.42890] Score is : 513
display  D   display_settings.c:214  debug_display_settings           [   0.42903] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.42918] Score is : 513
display  D   display_settings.c:214  debug_display_settings           [   0.42931] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.42946] Score is : 657
display  D   display_settings.c:214  debug_display_settings           [   0.42961] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.42991] Score is : 665
display  D   display_settings.c:214  debug_display_settings           [   0.43005] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.43020] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.43034] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.43049] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.43062] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.43077] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.43091] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.43106] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.43119] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.43134] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.43148] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.43165] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.43179] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.43195] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.43208] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.43224] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.43237] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.43252] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.43265] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.43281] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.43294] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.43311] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.43324] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.43340] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.43352] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.43368] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.43382] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.43398] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.43411] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.43427] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.43440] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.43455] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.43468] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.43484] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.43497] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.43513] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.43526] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.43541] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.43554] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.43570] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.43584] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.43624] Single Buffer requirement not met.
